DATE,WEEKDAY,EVENT,PRODUCT,QTY_ORDER
2015-01-01,WED,"NO EVENT",P2,23
2015-01-01,WED,"NO EVENT",P6,1
2015-01-01,WED,"NO EVENT",P7,321
2015-01-02,THU,"NO EVENT",P2,90
2015-01-02,THU,"NO EVENT",P6,8
2015-01-02,THU,"NO EVENT",P7,812
2015-01-03,FRI,"NO EVENT",P2,69
2015-01-03,FRI,"NO EVENT",P6,6
2015-01-03,FRI,"NO EVENT",P7,662
2015-01-04,SAT,"NO EVENT",P2,63
2015-01-04,SAT,"NO EVENT",P6,5
2015-01-04,SAT,"NO EVENT",P7,595
2015-01-05,SUN,"NO EVENT",P2,98
2015-01-05,SUN,"NO EVENT",P6,12
2015-01-05,SUN,"NO EVENT",P7,1166
2015-01-06,MON,"NO EVENT",P2,135
2015-01-06,MON,"NO EVENT",P6,15
2015-01-06,MON,"NO EVENT",P7,1797
2015-01-07,TUE,"NO EVENT",P2,144
2015-01-07,TUE,"NO EVENT",P6,14
2015-01-07,TUE,"NO EVENT",P7,2238
2015-01-08,WED,"NO EVENT",P2,170
2015-01-08,WED,"NO EVENT",P6,7
2015-01-08,WED,"NO EVENT",P7,94
2015-01-09,THU,"NO EVENT",P2,181
2015-01-09,THU,"NO EVENT",P6,15
2015-01-09,THU,"NO EVENT",P7,230
2015-01-10,FRI,"NO EVENT",P2,127
2015-01-10,FRI,"NO EVENT",P6,13
2015-01-10,FRI,"NO EVENT",P7,171
2015-01-11,SAT,"NO EVENT",P2,83
2015-01-11,SAT,"NO EVENT",P6,7
2015-01-11,SAT,"NO EVENT",P7,108
2015-01-12,SUN,"NO EVENT",P2,127
2015-01-12,SUN,"NO EVENT",P6,16
2015-01-12,SUN,"NO EVENT",P7,113
2015-01-13,MON,"NO EVENT",P2,119
2015-01-13,MON,"NO EVENT",P6,12
2015-01-13,MON,"NO EVENT",P7,264
2015-01-14,TUE,"NO EVENT",P2,140
2015-01-14,TUE,"NO EVENT",P6,7
2015-01-14,TUE,"NO EVENT",P7,352
2015-01-15,WED,"NO EVENT",P2,606
2015-01-15,WED,"NO EVENT",P6,13
2015-01-15,WED,"NO EVENT",P7,34
2015-01-16,THU,"NO EVENT",P2,356
2015-01-16,THU,"NO EVENT",P6,23
2015-01-16,THU,"NO EVENT",P7,423
2015-01-17,FRI,"NO EVENT",P2,220
2015-01-17,FRI,"NO EVENT",P6,9
2015-01-18,SAT,"NO EVENT",P2,145
2015-01-18,SAT,"NO EVENT",P6,4
2015-01-18,SAT,"NO EVENT",P7,117
2015-01-19,SUN,"NO EVENT",P2,134
2015-01-19,SUN,"NO EVENT",P6,6
2015-01-19,SUN,"NO EVENT",P7,526
2015-01-20,MON,"NO EVENT",P2,112
2015-01-20,MON,"NO EVENT",P6,10
2015-01-20,MON,"NO EVENT",P7,709
2015-01-21,TUE,"NO EVENT",P2,141
2015-01-21,TUE,"NO EVENT",P6,20
2015-01-21,TUE,"NO EVENT",P7,728
2015-01-22,WED,"NO EVENT",P2,115
2015-01-22,WED,"NO EVENT",P6,14
2015-01-22,WED,"NO EVENT",P7,569
2015-01-23,THU,"NO EVENT",P2,92
2015-01-23,THU,"NO EVENT",P6,15
2015-01-23,THU,"NO EVENT",P7,745
2015-01-24,FRI,"NO EVENT",P2,90
2015-01-24,FRI,"NO EVENT",P6,7
2015-01-24,FRI,"NO EVENT",P7,623
2015-01-25,SAT,"NO EVENT",P2,48
2015-01-25,SAT,"NO EVENT",P6,5
2015-01-25,SAT,"NO EVENT",P7,459
2015-01-26,SUN,"NO EVENT",P2,74
2015-01-26,SUN,"NO EVENT",P6,7
2015-01-26,SUN,"NO EVENT",P7,726
2015-01-27,MON,"NO EVENT",P2,117
2015-01-27,MON,"NO EVENT",P6,6
2015-01-27,MON,"NO EVENT",P7,656
2015-01-28,TUE,"NO EVENT",P2,163
2015-01-28,TUE,"NO EVENT",P6,6
2015-01-28,TUE,"NO EVENT",P7,457
2015-01-29,WED,"NO EVENT",P2,93
2015-01-29,WED,"NO EVENT",P6,2
2015-01-29,WED,"NO EVENT",P7,794
2015-01-30,THU,"NO EVENT",P2,110
2015-01-30,THU,"NO EVENT",P6,7
2015-01-30,THU,"NO EVENT",P7,600
2015-01-31,FRI,"NO EVENT",P2,43
2015-01-31,FRI,"NO EVENT",P6,5
2015-01-31,FRI,"NO EVENT",P7,412
2015-02-01,SAT,"NO EVENT",P2,51
2015-02-01,SAT,"NO EVENT",P6,3
2015-02-01,SAT,"NO EVENT",P7,309
2015-02-02,SUN,"NO EVENT",P2,76
2015-02-02,SUN,"NO EVENT",P6,5
2015-02-02,SUN,"NO EVENT",P7,745
2015-02-03,MON,"NO EVENT",P2,97
2015-02-03,MON,"NO EVENT",P6,293
2015-02-03,MON,"NO EVENT",P7,844
2015-02-04,TUE,"NO EVENT",P1,10
2015-02-04,TUE,"NO EVENT",P2,71
2015-02-04,TUE,"NO EVENT",P3,1
2015-02-04,TUE,"NO EVENT",P6,364
2015-02-04,TUE,"NO EVENT",P7,666
2015-02-05,WED,"NO EVENT",P1,12
2015-02-05,WED,"NO EVENT",P2,44
2015-02-05,WED,"NO EVENT",P3,3
2015-02-05,WED,"NO EVENT",P6,18
2015-02-05,WED,"NO EVENT",P7,660
2015-02-06,THU,"NO EVENT",P1,21
2015-02-06,THU,"NO EVENT",P2,71
2015-02-06,THU,"NO EVENT",P3,5
