DATE,PRODUCT,COMPETITOR,PAY_TYPE,COMPETITOR_PRICE,NUM_EXTRACTIONS,MIN_UNIT_PRICE,MAX_UNIT_PRICE,DIFF_UNIT_PRICE,VAR_UNIT_PRICE,AVG_PRICE
2015-01-01,P2,C1,DEFERRED,829,2,829.00,829.00,0.00,0.00,829.00
2015-01-01,P2,C1,IMMEDIATE,746.1,2,746.10,746.10,0.00,0.00,746.10
2015-01-01,P2,C2,DEFERRED,829,2,829.00,829.00,0.00,0.00,829.00
2015-01-01,P2,C2,IMMEDIATE,729.52,2,729.52,729.52,0.00,0.00,729.52
2015-01-01,P2,C3,DEFERRED,758,1,758.00,758.00,0.00,0.00,758.00
2015-01-01,P2,C3,DEFERRED,774.2,1,774.20,774.20,0.00,0.00,774.20
2015-01-01,P2,C3,IMMEDIATE,758,1,758.00,758.00,0.00,0.00,758.00
2015-01-01,P2,C3,IMMEDIATE,774.2,1,774.20,774.20,0.00,0.00,774.20
2015-01-01,P2,C4,DEFERRED,829,2,829.00,829.00,0.00,0.00,829.00
2015-01-01,P2,C4,IMMEDIATE,729.52,2,729.52,729.52,0.00,0.00,729.52
2015-01-01,P2,C6,DEFERRED,829,2,829.00,829.00,0.00,0.00,829.00
2015-01-01,P2,C6,IMMEDIATE,829,2,829.00,829.00,0.00,0.00,829.00
2015-01-01,P6,C1,DEFERRED,1959.9,2,1959.90,1959.90,0.00,0.00,1959.90
2015-01-01,P6,C1,IMMEDIATE,1959.9,2,1959.90,1959.90,0.00,0.00,1959.90
2015-01-01,P6,C3,DEFERRED,1898,2,1898.00,1898.00,0.00,0.00,1898.00
2015-01-01,P6,C3,DEFERRED,1914.9,2,1914.90,1914.90,0.00,0.00,1914.90
2015-01-01,P6,C3,IMMEDIATE,1898,2,1898.00,1898.00,0.00,0.00,1898.00
2015-01-01,P6,C3,IMMEDIATE,1914.9,2,1914.90,1914.90,0.00,0.00,1914.90
2015-01-01,P6,C4,DEFERRED,2199,2,2199.00,2199.00,0.00,0.00,2199.00
2015-01-01,P6,C4,IMMEDIATE,2199,2,2199.00,2199.00,0.00,0.00,2199.00
2015-01-01,P6,C6,DEFERRED,2229,2,2229.00,2229.00,0.00,0.00,2229.00
2015-01-01,P6,C6,DEFERRED,2799.9,2,2799.90,2799.90,0.00,0.00,2799.90
2015-01-01,P6,C6,IMMEDIATE,2229,2,2229.00,2229.00,0.00,0.00,2229.00
2015-01-01,P6,C6,IMMEDIATE,2799.9,2,2799.90,2799.90,0.00,0.00,2799.90
2015-01-01,P7,C3,DEFERRED,799,1,799.00,799.00,0.00,0.00,799.00
