WEEK,PRODUCT,COMPETITOR,PAY_TYPE,COMPETITOR_PRICE,NUM_EXTRACTIONS,MIN_UNIT_PRICE,MAX_UNIT_PRICE,DIFF_UNIT_PRICE,VAR_UNIT_PRICE,AVG_PRICE
0,P2,C1,DEFERRED,2487.00,6,829.00,829.00,0.00,0.00,829.00
0,P2,C1,IMMEDIATE,3017.56,6,746.10,762.68,16.58,2.22,754.39
0,P2,C2,DEFERRED,2487.00,6,829.00,829.00,0.00,0.00,829.00
0,P2,C2,IMMEDIATE,2951.24,6,729.52,746.10,16.58,2.27,737.81
0,P2,C3,DEFERRED,3944.20,6,758.00,818.90,60.90,8.03,788.84
0,P2,C3,IMMEDIATE,3944.20,6,758.00,818.90,60.90,8.03,788.84
0,P2,C4,DEFERRED,2487.00,6,829.00,829.00,0.00,0.00,829.00
0,P2,C4,IMMEDIATE,2188.56,6,729.52,729.52,0.00,0.00,729.52
0,P2,C6,DEFERRED,2487.00,6,829.00,829.00,0.00,0.00,829.00
0,P2,C6,IMMEDIATE,2487.00,6,829.00,829.00,0.00,0.00,829.00
0,P6,C1,DEFERRED,8078.70,7,1959.90,2199.00,239.10,12.20,2019.68
0,P6,C1,IMMEDIATE,7902.78,7,1959.90,2023.08,63.18,3.22,1975.70
0,P6,C2,DEFERRED,2199.00,2,2199.00,2199.00,0.00,0.00,2199.00
0,P6,C2,IMMEDIATE,1979.10,2,1979.10,1979.10,0.00,0.00,1979.10
0,P6,C3,DEFERRED,11438.70,12,1898.00,1914.90,16.90,0.89,1906.45
0,P6,C3,IMMEDIATE,11247.21,12,1723.41,1914.90,191.49,11.11,1874.54
0,P6,C4,DEFERRED,6597.00,6,2199.00,2199.00,0.00,0.00,2199.00
0,P6,C4,IMMEDIATE,6597.00,6,2199.00,2199.00,0.00,0.00,2199.00
0,P6,C6,DEFERRED,13884.90,12,2199.00,2799.90,600.90,27.33,2314.15
0,P6,C6,IMMEDIATE,13884.90,12,2199.00,2799.90,600.90,27.33,2314.15
0,P7,C3,DEFERRED,799.00,1,799.00,799.00,0.00,0.00,799.00
0,P7,C3,IMMEDIATE,719.10,1,719.10,719.10,0.00,0.00,719.10
0,P7,C4,DEFERRED,2397.00,12,799.00,799.00,0.00,0.00,799.00
0,P7,C4,IMMEDIATE,2109.36,12,703.12,703.12,0.00,0.00,703.12
0,P7,C5,DEFERRED,2397.00,12,799.00,799.00,0.00,0.00,799.00
0,P7,C5,IMMEDIATE,2277.15,12,759.05,759.05,0.00,0.00,759.05
0,P7,C6,DEFERRED,2397.00,6,799.00,799.00,0.00,0.00,799.00
0,P7,C6,IMMEDIATE,2397.00,6,799.00,799.00,0.00,0.00,799.00
