DATE,PRODUCT,QTY_ORDER,SALES,AVG_SALES,MIN_UNIT_PRICE,MAX_UNIT_PRICE,DIFF_UNIT_PRICE,VAR_UNIT_PRICE,AVG_PRICE,TOTAL_ITEMS,AVG_ITEMS
2015-01-01,P2,23,18984.10,825.40,746.10,829.00,82.90,11.11,825.40,23,1.00
2015-01-01,P6,1,1914.80,1914.80,1914.80,1914.80,0.00,0.00,1914.80,1,1.00
2015-01-01,P7,321,255871.81,817.48,719.10,899.00,179.90,25.02,797.32,321,1.03
2015-01-02,P2,90,74474.10,846.30,774.20,829.90,55.70,7.19,827.46,90,1.02
2015-01-02,P6,8,15318.40,1914.80,1914.80,1914.80,0.00,0.00,1914.80,8,1.00
2015-01-02,P7,812,647544.44,829.12,719.10,799.00,79.90,11.11,797.41,812,1.04
2015-01-03,P2,69,57118.10,839.97,746.10,829.00,82.90,11.11,827.78,69,1.01
2015-01-03,P6,6,11488.80,1914.80,1914.80,1914.80,0.00,0.00,1914.80,6,1.00
2015-01-03,P7,662,527377.70,825.32,705.58,799.00,93.42,13.24,796.56,662,1.04
2015-01-04,P2,63,52144.10,841.03,746.10,829.00,82.90,11.11,827.66,63,1.02
2015-01-04,P6,5,9574.00,1914.80,1914.80,1914.80,0.00,0.00,1914.80,5,1.00
2015-01-04,P7,595,474478.16,844.27,719.10,799.00,79.90,11.11,797.35,595,1.06
2015-01-05,P2,98,80756.50,850.07,746.10,829.00,82.90,11.11,823.89,98,1.03
2015-01-05,P6,12,22914.40,1909.53,1899.00,1914.80,15.80,0.83,1909.53,12,1.00
2015-01-05,P7,1166,930150.74,838.73,719.10,799.00,79.90,11.11,797.66,1166,1.05
2015-01-06,P2,135,111636.75,839.37,746.10,829.00,82.90,11.11,826.91,135,1.02
2015-01-06,P6,15,28627.20,1908.48,1899.00,1914.80,15.80,0.83,1908.48,15,1.00
2015-01-06,P7,1797,1433830.12,859.61,719.10,799.00,79.90,11.11,797.91,1797,1.08
2015-01-07,P2,144,118290.90,851.01,746.10,829.00,82.90,11.11,822.24,144,1.04
2015-01-07,P6,14,27001.40,1928.67,1899.00,1989.90,90.90,4.79,1928.67,14,1.00
2015-01-07,P7,2238,1780922.29,853.75,647.19,799.00,151.81,23.46,796.89,2238,1.07
2015-01-08,P2,170,139680.75,851.71,746.10,829.00,82.90,11.11,821.38,170,1.04
2015-01-08,P6,7,13397.18,1913.88,1898.99,1940.00,41.01,2.16,1913.88,7,1.00
2015-01-08,P7,94,76291.50,829.26,719.10,899.90,180.80,25.14,811.35,94,1.02
2015-01-09,P2,181,147663.33,848.64,719.10,829.00,109.90,15.28,815.29,181,1.04
2015-01-09,P6,15,28472.28,2033.73,1896.90,1898.99,2.09,0.11,1898.16,15,1.07
2015-01-09,P7,230,184700.87,843.38,719.10,899.00,179.90,25.02,803.39,230,1.05
2015-01-10,P2,127,103084.15,824.67,719.10,829.00,109.90,15.28,811.89,127,1.02
